"","kingdom","phylum","class","order","family","genus"
"24a0ccb2b685e0baec0d267ad86ba871","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium"
"1b69350e69996006ee763c7bc847377f","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"078580342af0e9716dd2e579611d2b50","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"50be53ac5160e4a60a102a5a70dd2b1c","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"02d5bdbbc34f7e571dc7b0692998e4f7","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella"
"aed1263f5068d234939bbb4bcc0c3b5c","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"16c23dfd97f83384d9b31c88a725bab4","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"c942301b05a3fa4eb3703c326a4de9c1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"fa0857a91c1320a57f95b8e7fd79e651","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"53484e064cd0e7877fd5d5a98e692386","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"e9540228f503ddb2902a9d9ac8632882","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"12df826b14fed650552b0ecaed272b87","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus"
"014879924201b075746588b080561b62","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2df2956327e6f80b90713339ffe59861","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"1deffa0836c5ba226938d1b4f9fee174","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"2037e8ebfc5b2f6dc6ff980942c4d769","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Parvimonas"
"294a789d747fc6dea0cc9a7d33a58737","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"fb32c1522fbb66499a01d08fd682fded","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"b8b552dc1a35a4723c94dadbbd576908","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Unassigned"
"8d222f5737df4e26bd20d61b6bbeeacf","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
